ubicacion,Hora,Variable,Equipo 1,Equipo 2,Equipo 3,Equipo 4,Equipo 5,Equipo 6,Profesor
1,15:15,Temperatura seca 1 m,24.3,24.8,24.1,24.2,24.9,23.6,22
1,15:18,Temperatura húmeda 1 m,13.3,13.4,13.2,12.7,13.6,12.6,
1,,Humedad relativa,25.7,24.4,25.9,22.8,25.1,24.4,20%
1,,Temperatura suelo,23.3,22.8,21,21.2,22.3,20.6,
1,15:24,Temperatura 5 cm subsuelo,18.8,19.1,19.1,18.3,19.1,17.7,
2,15:29,Temperatura seca 1 m,31.4,27.1,28.8,30.5,30.6,27.8,31
2,15:32,Temperatura húmeda 1 m,14.7,13.8,14.8,14.7,15.7,13.6,
2,,Humedad relativa,11.7,18.8,18.4,13.7,17.5,15.8,20%
2,15:35,Temperatura suelo,30.2,29.1,32.3,25.5,29.4,27.3,
2,15:38,Temperatura 5 cm subsuelo,22,23,22.9,22,23.6,22.5,
3,15:43,Temperatura seca 1 m,23.2,23.1,23.1,23.5,23.1,22.5,23
3,15:46,Temperatura húmeda 1 m,12.5,13,13.2,12.5,12.7,12,
3,,Humedad relativa,25.4,28.7,29.9,24.3,24.4,25.3,19%
3,15:49,Temperatura suelo,21.4,22.3,21,21.3,22.7,21.2,
4,15:57,Temperatura seca 1 m,31.7,30.6,30.8,30,30.8,30.6,34
4,16:00,Temperatura húmeda 1 m,16.7,15.6,16.3,15.7,16.9,14.9,
4,,Humedad relativa,18.8,17.1,17.1,19.1,22,14.2,18%
4,16:03,Temperatura suelo,43.7,42.2,45.2,46,39.1,42.1,
4,16:06,Temperatura 5 cm subsuelo,25.9,31.1,25.2,34,27,40.9,
5,16:11,Temperatura seca 1 m,24.8,24.8,24.4,15,24.1,23.6,21
5,16:14,Temperatura húmeda 1 m,13.9,13.6,13.7,18.5,14.4,13.5,
5,,Humedad relativa,27.1,25.4,27.5,15.5,32.7,29.6,19%
5,16:17,Temperatura suelo,18.7,15.5,20.9,18,19.1,14.9,
5,16:20,Temperatura 5 cm subsuelo,18.2,19.6,19.2,19,18.4,17,
6,16:27,Temperatura seca 1 m,29,27.1,28.2,27.5,31,29.9,31
6,16:30,Temperatura húmeda 1 m,15.5,14.5,15.8,14.9,17,15.5,
6,,Humedad relativa,21,22.1,24.9,22.8,21.8,18.5,19%
6,16:33,Temperatura suelo,31.8,26.5,31.8,30.8,32,36,
6,16:36,Temperatura 5 cm subsuelo,22.7,24.1,23.1,22.5,25.8,26.7,
7,16:27,Temperatura seca 1 m,29.2,27.8,28.8,29,29.4,29.6,33
7,16:30,Temperatura húmeda 1 m,15.8,15.3,15.5,15.7,15.8,14.9,
7,,Humedad relativa,21.7,23.7,21.6,21.9,21.2,16.7,19%
7,16:33,Temperatura suelo,47.2,43.6,47.3,48.2,47.3,39.8,
7,16:36,Temperatura 5 cm subsuelo,24.6,37.3,29.3,34.9,35.5,37.9,
